Name,geometry,colours,Eligible Voters,District Number
Peninsula West - Armdale ,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-63.622395,44.662704 -63.623554,44.662487 -63.62434,44.662521 -63.626183,44.662567 -63.627254,44.662529 -63.627953,44.662468 -63.628601,44.662418 -63.628605,44.662418 -63.628387,44.662273 -63.628201,44.662144 -63.62801,44.661945 -63.627911,44.661797 -63.627827,44.661606 -63.627735,44.661201 -63.627796,44.660877 -63.62801,44.660622 -63.628662,44.659924 -63.628769,44.659615 -63.628822,44.659348 -63.629047,44.658569 -63.629513,44.65715 -63.629921,44.655293 -63.630424,44.652447 -63.630539,44.651558 -63.631626,44.651497 -63.631992,44.65144 -63.632446,44.651337 -63.632961,44.651176 -63.634495,44.650547 -63.635651,44.650047 -63.636536,44.649658 -63.637817,44.649147 -63.63916,44.648575 -63.640339,44.64806 -63.642391,44.647152 -63.643307,44.646748 -63.644489,44.646255 -63.64513,44.645977 -63.645741,44.645718 -63.646999,44.645184 -63.64716,44.645115 -63.648251,44.644646 -63.648777,44.644417 -63.649906,44.643944 -63.650169,44.643795 -63.650654,44.64362 -63.651646,44.643372 -63.652653,44.643147 -63.653374,44.643009 -63.654057,44.642841 -63.654629,44.642616 -63.655121,44.642326 -63.655869,44.641724 -63.656311,44.641376 -63.656425,44.641342 -63.657375,44.640488 -63.658325,44.639748 -63.658676,44.639473 -63.659767,44.638515 -63.660587,44.637791 -63.661552,44.636997 -63.661968,44.636703 -63.663143,44.636005 -63.664532,44.635395 -63.664562,44.63538 -63.663666,44.634838 -63.663406,44.634682 -63.662922,44.634342 -63.662724,44.634186 -63.662556,44.634022 -63.662292,44.633747 -63.661915,44.633282 -63.661758,44.633064 -63.661285,44.632542 -63.66048,44.632202 -63.659794,44.632088 -63.659363,44.632103 -63.65752,44.633087 -63.656036,44.63533 -63.655285,44.635708 -63.652798,44.636948 -63.650333,44.637833 -63.647251,44.638939 -63.641277,44.638245 -63.63863,44.637131 -63.638206,44.63681 -63.638382,44.635757 -63.6385,44.634872 -63.638447,44.633945 -63.638153,44.63332 -63.637276,44.632542 -63.636089,44.632072 -63.635189,44.631748 -63.633999,44.631332 -63.63192,44.630508 -63.631233,44.630032 -63.630657,44.629444 -63.62957,44.628407 -63.628166,44.627026 -63.627594,44.626198 -63.62706,44.625137 -63.62656,44.624157 -63.626038,44.623329 -63.625359,44.622536 -63.624008,44.621269 -63.622658,44.620079 -63.621536,44.619202 -63.62151,44.619183 -63.621372,44.619293 -63.621799,44.621162 -63.62141,44.62141 -63.621319,44.62146 -63.620293,44.62236 -63.6213,44.622955 -63.621338,44.623199 -63.619888,44.624435 -63.619667,44.624279 -63.618439,44.623417 -63.618488,44.623402 -63.61842,44.623348 -63.618431,44.623341 -63.618286,44.623272 -63.61834,44.623215 -63.618259,44.623177 -63.618172,44.623135 -63.617939,44.623001 -63.617805,44.622944 -63.617813,44.622787 -63.617817,44.622707 -63.617832,44.622585 -63.617706,44.622143 -63.617538,44.621525 -63.617466,44.621204 -63.617348,44.620857 -63.617302,44.620693 -63.617298,44.620693 -63.616352,44.619854 -63.615498,44.618828 -63.614788,44.617817 -63.614643,44.617481 -63.614594,44.617199 -63.614544,44.616219 -63.614723,44.615822 -63.614799,44.615742 -63.614609,44.615665 -63.61433,44.615555 -63.613945,44.615452 -63.613892,44.615425 -63.613796,44.61541 -63.61364,44.61533 -63.613544,44.61528 -63.613548,44.615185 -63.613544,44.615143 -63.61348,44.615143 -63.613323,44.615177 -63.613266,44.615196 -63.613136,44.615185 -63.613037,44.615185 -63.612988,44.615147 -63.612885,44.615143 -63.612839,44.615101 -63.612682,44.615074 -63.612614,44.615044 -63.612583,44.615013 -63.612537,44.614979 -63.612511,44.614933 -63.612488,44.61491 -63.612434,44.614914 -63.612389,44.61488 -63.61237,44.614822 -63.612301,44.614769 -63.612232,44.614738 -63.612148,44.614742 -63.612053,44.614727 -63.612003,44.614716 -63.611973,44.614655 -63.611935,44.614609 -63.611904,44.614578 -63.611851,44.614563 -63.611828,44.614532 -63.611736,44.61451 -63.61166,44.614471 -63.611618,44.614433 -63.611565,44.614391 -63.611504,44.61441 -63.61145,44.614426 -63.611385,44.614403 -63.61129,44.614399 -63.61124,44.614384 -63.611088,44.614346 -63.61097,44.614338 -63.610943,44.614285 -63.610931,44.614208 -63.610901,44.614197 -63.610828,44.61422 -63.61079,44.614243 -63.610729,44.614243 -63.61068,44.614204 -63.610645,44.614151 -63.610546,44.614113 -63.606373,44.61565 -63.60223,44.617451 -63.600285,44.617374 -63.597614,44.618713 -63.59338,44.62075 -63.591965,44.622478 -63.591057,44.623314 -63.590874,44.623222 -63.590359,44.62299 -63.58989,44.622799 -63.588619,44.622787 -63.587482,44.622826 -63.58667,44.622936 -63.585892,44.624458 -63.585453,44.625294 -63.58469,44.625648 -63.58474,44.625664 -63.585846,44.625996 -63.586727,44.626255 -63.5868,44.626278 -63.586849,44.626293 -63.586903,44.626308 -63.587017,44.626347 -63.587116,44.626377 -63.589237,44.627079 -63.590202,44.627399 -63.590302,44.627438 -63.590374,44.627468 -63.590797,44.627644 -63.591911,44.628109 -63.592621,44.628643 -63.592957,44.628906 -63.593151,44.629059 -63.593239,44.6292 -63.593376,44.629421 -63.593788,44.630127 -63.594006,44.630249 -63.59425,44.63039 -63.594662,44.630623 -63.594917,44.630772 -63.595078,44.630859 -63.595192,44.630898 -63.595264,44.63092 -63.595436,44.630978 -63.595905,44.631126 -63.598309,44.631901 -63.598377,44.631927 -63.59869,44.632046 -63.599152,44.632214 -63.600552,44.632736 -63.600864,44.632938 -63.601257,44.63319 -63.602001,44.633667 -63.602993,44.634304 -63.60355,44.634663 -63.603642,44.634716 -63.603935,44.63488 -63.604328,44.635109 -63.605133,44.635571 -63.605572,44.635822 -63.605766,44.635937 -63.606216,44.636181 -63.606651,44.636269 -63.606815,44.636303 -63.607021,44.636345 -63.607956,44.636536 -63.609509,44.636848 -63.609604,44.636868 -63.6105,44.637211 -63.610832,44.637337 -63.606686,44.638416 -63.601448,44.639999 -63.60154,44.640049 -63.598373,44.640759 -63.600327,44.644497 -63.600449,44.644733 -63.601418,44.646652 -63.602333,44.648575 -63.602406,44.648716 -63.602745,44.649101 -63.602901,44.64922 -63.603462,44.649643 -63.604149,44.650131 -63.605576,44.651188 -63.606281,44.651676 -63.608345,44.653236 -63.609707,44.65427 -63.610439,44.654808 -63.610989,44.654469 -63.611698,44.654049 -63.612774,44.653423 -63.614342,44.652531 -63.614845,44.652287 -63.615017,44.652203 -63.615723,44.652699 -63.615986,44.652924 -63.616344,44.653458 -63.617153,44.654961 -63.617542,44.655628 -63.618256,44.656925 -63.61898,44.658249 -63.619602,44.659367 -63.619728,44.659889 -63.619728,44.660316 -63.620663,44.660664 -63.621399,44.661064 -63.621799,44.661621 -63.622395,44.662704,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",#D6FF85,"22,392",District 9
Timberlea - Beechville - Clayton Park West,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-63.678539,44.685402 -63.678841,44.685593 -63.678902,44.685566 -63.679317,44.6852 -63.68111,44.684566 -63.684639,44.682961 -63.685123,44.683052 -63.687962,44.683949 -63.688915,44.684261 -63.690388,44.685005 -63.690937,44.685974 -63.692863,44.687447 -63.695461,44.688339 -63.698383,44.689514 -63.700298,44.691166 -63.695744,44.69334 -63.694099,44.693703 -63.694046,44.693764 -63.700241,44.697315 -63.702385,44.69603 -63.703068,44.695724 -63.703785,44.695412 -63.709953,44.692692 -63.709953,44.692688 -63.714005,44.690907 -63.715012,44.69125 -63.721001,44.693314 -63.723633,44.689487 -63.728107,44.692368 -63.730057,44.691299 -63.732368,44.690144 -63.735573,44.689419 -63.739384,44.688942 -63.749619,44.6884 -63.767811,44.687153 -63.776516,44.684193 -63.778362,44.683609 -63.782452,44.68232 -63.783642,44.681923 -63.781734,44.679741 -63.779163,44.676807 -63.778763,44.676365 -63.778286,44.6758 -63.778084,44.675495 -63.777946,44.675209 -63.777851,44.6749 -63.777805,44.674477 -63.777878,44.673965 -63.777992,44.673676 -63.778179,44.673317 -63.778553,44.672802 -63.78019,44.673428 -63.780094,44.673943 -63.780785,44.674042 -63.781273,44.674053 -63.78194,44.674198 -63.782589,44.67437 -63.782803,44.673527 -63.782856,44.673428 -63.78307,44.673431 -63.784286,44.673626 -63.784698,44.673615 -63.78513,44.673546 -63.786255,44.673313 -63.78587,44.673103 -63.783703,44.67202 -63.782085,44.671219 -63.773937,44.667606 -63.773838,44.667149 -63.773842,44.666737 -63.77174,44.665794 -63.771526,44.665356 -63.771282,44.664799 -63.771194,44.664585 -63.770798,44.663963 -63.770485,44.663445 -63.768597,44.660343 -63.768394,44.659344 -63.768257,44.65839 -63.7682,44.658127 -63.768009,44.657764 -63.767738,44.657433 -63.767654,44.657314 -63.767082,44.654617 -63.76685,44.654102 -63.766525,44.652454 -63.766464,44.650372 -63.766216,44.649792 -63.765873,44.648888 -63.765347,44.646713 -63.764671,44.64381 -63.762989,44.638847 -63.76273,44.636791 -63.762794,44.635796 -63.763283,44.6353 -63.767193,44.634277 -63.770451,44.632931 -63.775982,44.630947 -63.779072,44.629913 -63.775749,44.625484 -63.773033,44.62122 -63.768753,44.614513 -63.767014,44.61071 -63.76366,44.603394 -63.761978,44.599728 -63.762733,44.599552 -63.763023,44.599483 -63.769218,44.598076 -63.768333,44.596066 -63.767467,44.594109 -63.767353,44.592072 -63.767635,44.591869 -63.767342,44.591713 -63.767132,44.591633 -63.766922,44.59156 -63.766476,44.59148 -63.766151,44.591442 -63.765545,44.591198 -63.764694,44.591167 -63.76133,44.590965 -63.760509,44.590847 -63.760036,44.590752 -63.759239,44.590427 -63.75898,44.590305 -63.757336,44.590019 -63.756943,44.589931 -63.756355,44.589718 -63.756046,44.589573 -63.755844,44.589489 -63.755783,44.589443 -63.755505,44.589333 -63.755032,44.589191 -63.754612,44.589104 -63.754128,44.588997 -63.753757,44.588894 -63.753178,44.588799 -63.7528,44.588707 -63.752373,44.588577 -63.75209,44.588512 -63.752068,44.588451 -63.75198,44.588486 -63.751095,44.588249 -63.751003,44.588219 -63.750694,44.588146 -63.750294,44.588043 -63.750141,44.588013 -63.749958,44.588001 -63.749619,44.587955 -63.749405,44.58794 -63.749084,44.58794 -63.748615,44.587948 -63.748337,44.587959 -63.74773,44.587971 -63.747444,44.587959 -63.747063,44.587978 -63.746632,44.588024 -63.746296,44.588078 -63.743744,44.588528 -63.74361,44.588551 -63.74353,44.588547 -63.743214,44.58849 -63.742908,44.588444 -63.742737,44.588428 -63.742371,44.588417 -63.742023,44.58844 -63.741798,44.588467 -63.741497,44.588528 -63.741318,44.588577 -63.741089,44.58865 -63.740017,44.588993 -63.739853,44.589043 -63.739513,44.589115 -63.739334,44.589146 -63.738983,44.589184 -63.738667,44.589245 -63.738365,44.589329 -63.738216,44.589378 -63.737865,44.589527 -63.737549,44.589622 -63.737385,44.589653 -63.737213,44.589672 -63.736954,44.589676 -63.736786,44.589661 -63.73645,44.589596 -63.736221,44.589512 -63.735462,44.589165 -63.735245,44.589073 -63.735054,44.589031 -63.734856,44.589016 -63.734653,44.589031 -63.734509,44.589066 -63.734123,44.58913 -63.733887,44.589191 -63.733704,44.589214 -63.733517,44.589218 -63.733265,44.589191 -63.732933,44.589127 -63.732498,44.589073 -63.732285,44.589058 -63.731842,44.589054 -63.731628,44.589066 -63.731407,44.589085 -63.730103,44.589401 -63.729919,44.589439 -63.729755,44.589428 -63.729652,44.589405 -63.729515,44.58934 -63.729416,44.589249 -63.729053,44.5891 -63.728676,44.588963 -63.728306,44.58884 -63.727894,44.58873 -63.727139,44.588554 -63.726788,44.588459 -63.726452,44.588348 -63.726124,44.588223 -63.726006,44.588165 -63.725803,44.588093 -63.725521,44.588032 -63.725304,44.588017 -63.725082,44.588024 -63.724796,44.58807 -63.724216,44.588154 -63.724049,44.588165 -63.723797,44.588158 -63.723633,44.588139 -63.72319,44.588203 -63.722755,44.588287 -63.722332,44.58839 -63.721489,44.588787 -63.721252,44.588894 -63.721104,44.588932 -63.720833,44.588963 -63.720669,44.588959 -63.720505,44.588932 -63.720253,44.588875 -63.720051,44.588844 -63.719837,44.588829 -63.719631,44.588833 -63.719421,44.588848 -63.719219,44.588882 -63.718269,44.588879 -63.717896,44.588902 -63.717709,44.588928 -63.717346,44.588993 -63.717171,44.589035 -63.716305,44.589294 -63.716007,44.589264 -63.715813,44.589218 -63.71563,44.589149 -63.715221,44.588943 -63.715103,44.588902 -63.714977,44.588882 -63.714813,44.588898 -63.714638,44.588963 -63.714466,44.589088 -63.714241,44.589218 -63.714119,44.589275 -63.713158,44.589783 -63.713001,44.589878 -63.712818,44.589951 -63.712555,44.59 -63.712421,44.590004 -63.712128,44.589993 -63.711929,44.590012 -63.711742,44.59005 -63.711178,44.590134 -63.711033,44.590168 -63.710022,44.590492 -63.709694,44.590736 -63.710281,44.591496 -63.705395,44.59724 -63.702206,44.604038 -63.702332,44.605431 -63.700001,44.605858 -63.699345,44.610001 -63.698009,44.617847 -63.697262,44.619923 -63.697083,44.620644 -63.695454,44.623032 -63.694031,44.625286 -63.693726,44.626171 -63.693508,44.626343 -63.693798,44.627064 -63.693356,44.627052 -63.692371,44.627113 -63.690186,44.627392 -63.689587,44.627502 -63.688801,44.627682 -63.687958,44.627926 -63.687153,44.628197 -63.686378,44.628494 -63.684307,44.629318 -63.682377,44.630085 -63.678867,44.631474 -63.676849,44.63229 -63.676502,44.63242 -63.675846,44.632629 -63.675331,44.632771 -63.674782,44.632896 -63.674072,44.633018 -63.674183,44.633259 -63.673859,44.633308 -63.671421,44.633526 -63.668949,44.633808 -63.668362,44.633919 -63.66732,44.634224 -63.66605,44.634731 -63.664562,44.63538 -63.663143,44.636005 -63.661968,44.636703 -63.661552,44.636997 -63.660587,44.637791 -63.659767,44.638515 -63.658676,44.639473 -63.658325,44.639748 -63.657375,44.640488 -63.656425,44.641342 -63.656311,44.641376 -63.655869,44.641724 -63.655121,44.642326 -63.654629,44.642616 -63.654057,44.642841 -63.653374,44.643009 -63.652653,44.643147 -63.651646,44.643372 -63.650654,44.64362 -63.650169,44.643795 -63.649906,44.643944 -63.648777,44.644417 -63.648251,44.644646 -63.64716,44.645115 -63.645741,44.645718 -63.646263,44.646126 -63.646618,44.646503 -63.648643,44.648087 -63.649651,44.64888 -63.649963,44.649353 -63.650036,44.649509 -63.650108,44.650043 -63.650345,44.650002 -63.650898,44.649754 -63.650963,44.64983 -63.651665,44.650646 -63.651779,44.65078 -63.65234,44.651432 -63.654446,44.653793 -63.655823,44.65527 -63.657314,44.656895 -63.658714,44.658344 -63.659557,44.65926 -63.660835,44.660645 -63.661987,44.661957 -63.660763,44.662178 -63.659199,44.662132 -63.65836,44.662037 -63.657646,44.662098 -63.655609,44.662563 -63.654663,44.66293 -63.655537,44.66394 -63.65625,44.664574 -63.657608,44.665443 -63.658493,44.666023 -63.658485,44.666031 -63.658543,44.666069 -63.659809,44.666901 -63.660652,44.667606 -63.660965,44.667965 -63.662968,44.670418 -63.66346,44.671062 -63.663528,44.671162 -63.663696,44.671455 -63.663845,44.671799 -63.663967,44.67218 -63.664036,44.672558 -63.664055,44.672909 -63.664043,44.673233 -63.663872,44.673908 -63.66357,44.674789 -63.663033,44.675835 -63.663025,44.676376 -63.6633,44.677094 -63.663513,44.677238 -63.664444,44.677959 -63.665157,44.678661 -63.665642,44.679886 -63.665745,44.680073 -63.666019,44.680367 -63.666241,44.680542 -63.666988,44.68108 -63.667809,44.681591 -63.668716,44.682198 -63.670429,44.682861 -63.672626,44.683693 -63.673321,44.683891 -63.674099,44.683968 -63.674934,44.684036 -63.675735,44.684238 -63.676754,44.68462 -63.678413,44.685318,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",#FFFF00,"21,814",District 12
Peninsula North,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-63.584946,44.663536 -63.585621,44.663841 -63.58688,44.664406 -63.586922,44.66444 -63.588108,44.664959 -63.589703,44.66663 -63.59016,44.666988 -63.590675,44.667393 -63.59082,44.667507 -63.590889,44.667561 -63.594822,44.671436 -63.597874,44.673107 -63.59848,44.673435 -63.599079,44.673759 -63.599121,44.67379 -63.59967,44.674076 -63.600128,44.67432 -63.602634,44.675362 -63.603153,44.675575 -63.605202,44.676426 -63.605988,44.676567 -63.608505,44.677013 -63.616898,44.678505 -63.617031,44.678417 -63.617954,44.677814 -63.619942,44.676533 -63.619999,44.676495 -63.620449,44.676205 -63.623306,44.674351 -63.623611,44.674152 -63.62389,44.673973 -63.627762,44.671455 -63.627766,44.671452 -63.627781,44.67144 -63.627895,44.671238 -63.627899,44.671219 -63.630444,44.666744 -63.63129,44.665279 -63.63237,44.663826 -63.632534,44.663357 -63.630795,44.663105 -63.629848,44.662895 -63.62899,44.662579 -63.628601,44.662418 -63.627953,44.662468 -63.627254,44.662529 -63.626183,44.662567 -63.62434,44.662521 -63.623554,44.662487 -63.622395,44.662704 -63.621799,44.661621 -63.621399,44.661064 -63.620663,44.660664 -63.619728,44.660316 -63.619728,44.659889 -63.619602,44.659367 -63.61898,44.658249 -63.618256,44.656925 -63.617542,44.655628 -63.617153,44.654961 -63.616344,44.653458 -63.615986,44.652924 -63.615723,44.652699 -63.615017,44.652203 -63.614845,44.652287 -63.614342,44.652531 -63.612774,44.653423 -63.611698,44.654049 -63.610989,44.654469 -63.610439,44.654808 -63.609707,44.65427 -63.608345,44.653236 -63.606281,44.651676 -63.605576,44.651188 -63.604149,44.650131 -63.603462,44.649643 -63.602901,44.64922 -63.602745,44.649101 -63.602406,44.648716 -63.602333,44.648575 -63.601418,44.646652 -63.600449,44.644733 -63.600327,44.644497 -63.600201,44.644543 -63.5979,44.645206 -63.596813,44.645531 -63.595867,44.64579 -63.594566,44.646145 -63.593384,44.646477 -63.592304,44.646751 -63.59166,44.646915 -63.590645,44.647171 -63.590031,44.64732 -63.590023,44.647354 -63.588993,44.647926 -63.587887,44.648663 -63.586906,44.64912 -63.586006,44.64938 -63.585045,44.649551 -63.586624,44.650635 -63.586475,44.65073 -63.58646,44.650742 -63.585072,44.651638 -63.583118,44.652905 -63.581738,44.653839 -63.581085,44.654243 -63.580936,44.654285 -63.580757,44.654324 -63.580528,44.65432 -63.580326,44.654289 -63.580154,44.654224 -63.576946,44.656357 -63.575977,44.657452 -63.577328,44.658237 -63.578197,44.660496 -63.581905,44.662167 -63.584946,44.663536,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",#00CC00,"22,064",District 8
Hammonds Plains - St. Margarets,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-63.82917,44.809914 -63.829544,44.809437 -63.830639,44.80994 -63.831619,44.811241 -63.83345,44.809345 -63.832603,44.808205 -63.832733,44.806999 -63.833481,44.806732 -63.834343,44.805553 -63.835159,44.804916 -63.83614,44.80323 -63.836826,44.802738 -63.83741,44.803715 -63.83773,44.805553 -63.837597,44.807182 -63.838184,44.807644 -63.840244,44.807945 -63.841721,44.807941 -63.843647,44.808891 -63.843288,44.810211 -63.84409,44.810001 -63.84499,44.808483 -63.845951,44.806313 -63.847458,44.804935 -63.848045,44.80341 -63.847439,44.802208 -63.848358,44.801411 -63.848907,44.801819 -63.850803,44.801903 -63.852417,44.802208 -63.855446,44.804096 -63.856419,44.805164 -63.857086,44.805153 -63.857338,44.804371 -63.856838,44.803539 -63.858109,44.802197 -63.85894,44.802261 -63.86055,44.801769 -63.860397,44.800789 -63.859112,44.801491 -63.859104,44.800159 -63.859928,44.799686 -63.85886,44.799267 -63.858849,44.798088 -63.859562,44.797569 -63.860165,44.797897 -63.860622,44.797504 -63.861744,44.797859 -63.861542,44.79903 -63.862202,44.79879 -63.86253,44.797874 -63.863384,44.79813 -63.864841,44.797661 -63.86528,44.798035 -63.865898,44.797009 -64.145798,44.770889 -64.166176,44.769051 -64.194695,44.766338 -64.233902,44.76252 -64.240852,44.761856 -64.152,44.698689 -64.144783,44.693588 -64.139038,44.689461 -64.110512,44.669128 -64.108002,44.667366 -64.103493,44.66412 -64.090553,44.654491 -64.083893,44.650131 -64.070656,44.640682 -64.065041,44.636444 -64.063431,44.634922 -64.061447,44.631367 -64.059875,44.629547 -64.05587,44.627571 -64.053139,44.625595 -64.048393,44.623917 -64.043442,44.619942 -64.037476,44.621807 -64.015656,44.621246 -64.014961,44.625023 -63.999756,44.624481 -63.998829,44.578667 -63.982121,44.525223 -63.969151,44.49966 -63.947414,44.474483 -63.907543,44.458401 -63.8671,44.458405 -63.880951,44.488659 -63.88385,44.494938 -63.882385,44.495335 -63.883652,44.496288 -63.882404,44.497238 -63.88435,44.498783 -63.88588,44.499458 -63.887447,44.500801 -63.887638,44.501282 -63.889614,44.503315 -63.890862,44.503891 -63.892544,44.505619 -63.892578,44.508488 -63.892181,44.508713 -63.894104,44.510052 -63.90873,44.522888 -63.904736,44.522579 -63.904045,44.524765 -63.900574,44.525295 -63.901196,44.526775 -63.899948,44.526932 -63.90089,44.530266 -63.890263,44.531631 -63.891502,44.535824 -63.887501,44.535908 -63.886765,44.540226 -63.874542,44.537991 -63.875851,44.5406 -63.867256,44.54274 -63.865883,44.539612 -63.861591,44.540955 -63.863087,44.542171 -63.863625,44.542225 -63.865318,44.543758 -63.866516,44.545296 -63.865574,44.548168 -63.870605,44.551884 -63.865273,44.552837 -63.867847,44.556759 -63.866829,44.556961 -63.858173,44.552052 -63.849388,44.55402 -63.849697,44.554607 -63.849106,44.555187 -63.849224,44.555805 -63.847225,44.558517 -63.845749,44.558685 -63.84539,44.557453 -63.844051,44.556389 -63.84399,44.556358 -63.84391,44.55632 -63.843685,44.556213 -63.843685,44.556133 -63.843697,44.555153 -63.843697,44.555069 -63.843491,44.554672 -63.843128,44.553986 -63.843098,44.553921 -63.838852,44.553493 -63.835739,44.553284 -63.833103,44.553219 -63.831535,44.554127 -63.830784,44.556267 -63.831848,44.558365 -63.831875,44.55941 -63.832287,44.560001 -63.831467,44.560936 -63.831902,44.561619 -63.830589,44.562061 -63.830868,44.563419 -63.829147,44.565605 -63.829079,44.566402 -63.826763,44.573124 -63.823719,44.574474 -63.821033,44.576321 -63.817749,44.577286 -63.816818,44.577377 -63.807709,44.572704 -63.806736,44.571819 -63.806885,44.569622 -63.805676,44.567768 -63.802471,44.567364 -63.801353,44.565578 -63.800587,44.56498 -63.80064,44.564461 -63.799637,44.563412 -63.797047,44.563835 -63.796688,44.564476 -63.795788,44.564671 -63.791058,44.563381 -63.790714,44.562241 -63.789505,44.561287 -63.788124,44.560562 -63.784073,44.559059 -63.78278,44.559067 -63.781479,44.55949 -63.779526,44.559723 -63.779522,44.561073 -63.779949,44.561184 -63.778744,44.561859 -63.77795,44.562672 -63.77787,44.563339 -63.778889,44.564426 -63.779007,44.565086 -63.778515,44.568169 -63.778053,44.568733 -63.775799,44.568996 -63.773926,44.568714 -63.773632,44.57 -63.772026,44.571609 -63.77248,44.57354 -63.772709,44.575539 -63.772522,44.57658 -63.771393,44.578259 -63.770756,44.579903 -63.770573,44.581814 -63.76894,44.583012 -63.768559,44.58379 -63.769852,44.587456 -63.769348,44.589542 -63.767529,44.590221 -63.766151,44.591442 -63.767635,44.591869 -63.767353,44.592072 -63.767467,44.594109 -63.769218,44.598076 -63.761978,44.599728 -63.768753,44.614513 -63.775749,44.625484 -63.779072,44.629913 -63.775982,44.630947 -63.770451,44.632931 -63.767193,44.634277 -63.763283,44.6353 -63.762794,44.635796 -63.76273,44.636791 -63.762989,44.638847 -63.764671,44.64381 -63.765873,44.648888 -63.766464,44.650372 -63.766525,44.652454 -63.767654,44.657314 -63.7682,44.658127 -63.768597,44.660343 -63.771194,44.664585 -63.77174,44.665794 -63.773842,44.666737 -63.773937,44.667606 -63.782085,44.671219 -63.786255,44.673313 -63.784286,44.673626 -63.782803,44.673527 -63.782589,44.67437 -63.780094,44.673943 -63.78019,44.673428 -63.778553,44.672802 -63.777878,44.673965 -63.777851,44.6749 -63.778286,44.6758 -63.783642,44.681923 -63.776516,44.684193 -63.767811,44.687153 -63.749619,44.6884 -63.739384,44.688942 -63.735573,44.689419 -63.732368,44.690144 -63.728107,44.692368 -63.723633,44.689487 -63.721001,44.693314 -63.714005,44.690907 -63.709953,44.692688 -63.712845,44.696026 -63.709862,44.696236 -63.710304,44.696682 -63.709888,44.697372 -63.71077,44.697956 -63.710014,44.699017 -63.711166,44.700497 -63.709858,44.701199 -63.710045,44.701416 -63.711407,44.701954 -63.711037,44.702435 -63.709599,44.701874 -63.709484,44.702141 -63.711071,44.702763 -63.709309,44.705173 -63.71006,44.705681 -63.708023,44.706367 -63.710155,44.709484 -63.71159,44.711021 -63.71357,44.712563 -63.715412,44.71368 -63.717506,44.711006 -63.720722,44.712318 -63.720184,44.712994 -63.723106,44.714924 -63.723537,44.714436 -63.724899,44.714886 -63.724297,44.715557 -63.73317,44.721436 -63.7313,44.723869 -63.73317,44.723652 -63.73431,44.723747 -63.737366,44.724651 -63.740376,44.725941 -63.743233,44.726635 -63.749142,44.728519 -63.751476,44.729702 -63.754517,44.73082 -63.759369,44.732246 -63.761055,44.732727 -63.761372,44.732819 -63.761669,44.733482 -63.75816,44.73679 -63.757374,44.740135 -63.751354,44.747467 -63.743561,44.757229 -63.739471,44.762203 -63.743973,44.765034 -63.741997,44.76754 -63.747646,44.773937 -63.750683,44.775043 -63.757763,44.779037 -63.763157,44.781658 -63.76556,44.782951 -63.768272,44.784855 -63.770317,44.785561 -63.772114,44.78455 -63.773525,44.784439 -63.77544,44.784843 -63.774975,44.786205 -63.775066,44.787148 -63.772861,44.789955 -63.773045,44.790752 -63.776367,44.793797 -63.778137,44.795864 -63.779575,44.796795 -63.778645,44.797649 -63.777618,44.798019 -63.777496,44.798607 -63.778492,44.799854 -63.779381,44.801617 -63.779556,44.802757 -63.7803,44.803307 -63.779987,44.804111 -63.780869,44.804649 -63.782295,44.806164 -63.782269,44.807838 -63.78286,44.808907 -63.782867,44.809872 -63.783375,44.809891 -63.78326,44.811398 -63.781948,44.811901 -63.780815,44.814117 -63.78133,44.814686 -63.780224,44.816547 -63.780327,44.817047 -63.781818,44.81834 -63.782635,44.818722 -63.782635,44.819637 -63.783688,44.820648 -63.784557,44.820965 -63.784908,44.822208 -63.785675,44.823715 -63.786728,44.823849 -63.786739,44.824966 -63.78994,44.825485 -63.790871,44.827141 -63.789089,44.827702 -63.801487,44.839081 -63.810059,44.827896 -63.810902,44.829018 -63.811993,44.82888 -63.813091,44.828007 -63.813934,44.828236 -63.815342,44.826859 -63.8153,44.826191 -63.816364,44.825935 -63.81641,44.825424 -63.815479,44.824924 -63.816036,44.824703 -63.816902,44.825256 -63.818207,44.825237 -63.816654,44.823753 -63.816677,44.823177 -63.817734,44.823498 -63.820629,44.82259 -63.821812,44.821957 -63.822632,44.822014 -63.823231,44.821587 -63.824284,44.82233 -63.824112,44.823025 -63.82505,44.822838 -63.824608,44.821918 -63.823704,44.821339 -63.824593,44.820972 -63.82655,44.81913 -63.825691,44.818901 -63.824211,44.817677 -63.824574,44.817005 -63.825359,44.816818 -63.826622,44.81599 -63.826275,44.815666 -63.825008,44.815548 -63.825092,44.814838 -63.826546,44.814919 -63.827351,44.815372 -63.828732,44.81514 -63.830132,44.814228 -63.829929,44.81332 -63.830566,44.812656 -63.829323,44.811985 -63.82893,44.811218,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",#9F81F7,"18,464",District 13
